STATISTIC,STATISTIC Label,TLIST(A1),Year,C02076V02508,Age Group,C02199V02655,Sex,UNIT,VALUE
PEA01,Population Estimates (Persons in April),1950,1950,205,0 - 4 years,-,Both sexes,Thousand,293.8
PEA01,Population Estimates (Persons in April),1950,1950,205,0 - 4 years,1,Male,Thousand,149.2
PEA01,Population Estimates (Persons in April),1950,1950,205,0 - 4 years,2,Female,Thousand,144.6
PEA01,Population Estimates (Persons in April),1950,1950,245,5 - 9 years,-,Both sexes,Thousand,278.9
PEA01,Population Estimates (Persons in April),1950,1950,245,5 - 9 years,1,Male,Thousand,142.3
PEA01,Population Estimates (Persons in April),1950,1950,245,5 - 9 years,2,Female,Thousand,136.6
PEA01,Population Estimates (Persons in April),1950,1950,265,10 - 14 years,-,Both sexes,Thousand,262.1
PEA01,Population Estimates (Persons in April),1950,1950,265,10 - 14 years,1,Male,Thousand,133.4
PEA01,Population Estimates (Persons in April),1950,1950,265,10 - 14 years,2,Female,Thousand,128.7
PEA01,Population Estimates (Persons in April),1950,1950,300,15 - 19 years,-,Both sexes,Thousand,244
PEA01,Population Estimates (Persons in April),1950,1950,300,15 - 19 years,1,Male,Thousand,126.6
PEA01,Population Estimates (Persons in April),1950,1950,300,15 - 19 years,2,Female,Thousand,117.4
PEA01,Population Estimates (Persons in April),1950,1950,365,20 - 24 years,-,Both sexes,Thousand,208.6
PEA01,Population Estimates (Persons in April),1950,1950,365,20 - 24 years,1,Male,Thousand,108.3
PEA01,Population Estimates (Persons in April),1950,1950,365,20 - 24 years,2,Female,Thousand,100.3
PEA01,Population Estimates (Persons in April),1950,1950,410,25 - 29 years,-,Both sexes,Thousand,201.1
PEA01,Population Estimates (Persons in April),1950,1950,410,25 - 29 years,1,Male,Thousand,100.9
PEA01,Population Estimates (Persons in April),1950,1950,410,25 - 29 years,2,Female,Thousand,100.2
PEA01,Population Estimates (Persons in April),1950,1950,440,30 - 34 years,-,Both sexes,Thousand,194.8
PEA01,Population Estimates (Persons in April),1950,1950,440,30 - 34 years,1,Male,Thousand,98.3
PEA01,Population Estimates (Persons in April),1950,1950,440,30 - 34 years,2,Female,Thousand,96.5
PEA01,Population Estimates (Persons in April),1950,1950,460,35 - 39 years,-,Both sexes,Thousand,199.8
PEA01,Population Estimates (Persons in April),1950,1950,460,35 - 39 years,1,Male,Thousand,101.8
PEA01,Population Estimates (Persons in April),1950,1950,460,35 - 39 years,2,Female,Thousand,98
PEA01,Population Estimates (Persons in April),1950,1950,475,40 - 44 years,-,Both sexes,Thousand,177.9
PEA01,Population Estimates (Persons in April),1950,1950,475,40 - 44 years,1,Male,Thousand,92.4
PEA01,Population Estimates (Persons in April),1950,1950,475,40 - 44 years,2,Female,Thousand,85.5
PEA01,Population Estimates (Persons in April),1950,1950,495,45 - 49 years,-,Both sexes,Thousand,163.8
PEA01,Population Estimates (Persons in April),1950,1950,495,45 - 49 years,1,Male,Thousand,83.6
PEA01,Population Estimates (Persons in April),1950,1950,495,45 - 49 years,2,Female,Thousand,80.2
PEA01,Population Estimates (Persons in April),1950,1950,515,50 - 54 years,-,Both sexes,Thousand,158.4
PEA01,Population Estimates (Persons in April),1950,1950,515,50 - 54 years,1,Male,Thousand,80.6
PEA01,Population Estimates (Persons in April),1950,1950,515,50 - 54 years,2,Female,Thousand,77.8
PEA01,Population Estimates (Persons in April),1950,1950,530,55 - 59 years,-,Both sexes,Thousand,130.4
PEA01,Population Estimates (Persons in April),1950,1950,530,55 - 59 years,1,Male,Thousand,65.8
PEA01,Population Estimates (Persons in April),1950,1950,530,55 - 59 years,2,Female,Thousand,64.6
PEA01,Population Estimates (Persons in April),1950,1950,550,60 - 64 years,-,Both sexes,Thousand,121.9
PEA01,Population Estimates (Persons in April),1950,1950,550,60 - 64 years,1,Male,Thousand,61.3
PEA01,Population Estimates (Persons in April),1950,1950,550,60 - 64 years,2,Female,Thousand,60.6
PEA01,Population Estimates (Persons in April),1950,1950,565,65 - 69 years,-,Both sexes,Thousand,109.3
PEA01,Population Estimates (Persons in April),1950,1950,565,65 - 69 years,1,Male,Thousand,55.2
PEA01,Population Estimates (Persons in April),1950,1950,565,65 - 69 years,2,Female,Thousand,54.1
PEA01,Population Estimates (Persons in April),1950,1950,580,70 - 74 years,-,Both sexes,Thousand,100.4
PEA01,Population Estimates (Persons in April),1950,1950,580,70 - 74 years,1,Male,Thousand,49.5
PEA01,Population Estimates (Persons in April),1950,1950,580,70 - 74 years,2,Female,Thousand,50.9
PEA01,Population Estimates (Persons in April),1950,1950,595,75 - 79 years,-,Both sexes,Thousand,64
PEA01,Population Estimates (Persons in April),1950,1950,595,75 - 79 years,1,Male,Thousand,31.4
PEA01,Population Estimates (Persons in April),1950,1950,595,75 - 79 years,2,Female,Thousand,32.6
PEA01,Population Estimates (Persons in April),1950,1950,610,80 - 84 years,-,Both sexes,Thousand,30.1
