Year,Country category,Country,Sex category,Sex,Migration label,Origin or Destination,UNIT,VALUE
1996,GB1,United Kingdom (1),-,Both sexes,1,Net migration,Thousand,3.5
1996,GB1,United Kingdom (1),-,Both sexes,4,Emigrants: All destinations,Thousand,14.1
1996,GB1,United Kingdom (1),-,Both sexes,5,Immigrants: All origins,Thousand,17.6
1996,GB1,United Kingdom (1),1,Male,1,Net migration,Thousand,1.7
1996,GB1,United Kingdom (1),1,Male,4,Emigrants: All destinations,Thousand,6.7
1996,GB1,United Kingdom (1),1,Male,5,Immigrants: All origins,Thousand,8.4
1996,GB1,United Kingdom (1),2,Female,1,Net migration,Thousand,1.8
1996,GB1,United Kingdom (1),2,Female,4,Emigrants: All destinations,Thousand,7.4
1996,GB1,United Kingdom (1),2,Female,5,Immigrants: All origins,Thousand,9.2
1996,US,United States,-,Both sexes,1,Net migration,Thousand,1.2
1996,US,United States,-,Both sexes,4,Emigrants: All destinations,Thousand,5.2
1996,US,United States,-,Both sexes,5,Immigrants: All origins,Thousand,6.4
1996,US,United States,1,Male,1,Net migration,Thousand,0.1
1996,US,United States,1,Male,4,Emigrants: All destinations,Thousand,2.7
1996,US,United States,1,Male,5,Immigrants: All origins,Thousand,2.8
1996,US,United States,2,Female,1,Net migration,Thousand,1.1
1996,US,United States,2,Female,4,Emigrants: All destinations,Thousand,2.5
1996,US,United States,2,Female,5,Immigrants: All origins,Thousand,3.6
1996,ZZWORX23,Other countries (23),-,Both sexes,1,Net migration,Thousand,1.2
1996,ZZWORX23,Other countries (23),-,Both sexes,4,Emigrants: All destinations,Thousand,6.8
1996,ZZWORX23,Other countries (23),-,Both sexes,5,Immigrants: All origins,Thousand,8.0
1996,ZZWORX23,Other countries (23),1,Male,1,Net migration,Thousand,0.7
1996,ZZWORX23,Other countries (23),1,Male,4,Emigrants: All destinations,Thousand,3.6
1996,ZZWORX23,Other countries (23),1,Male,5,Immigrants: All origins,Thousand,4.3
1996,ZZWORX23,Other countries (23),2,Female,1,Net migration,Thousand,-0.5
1996,ZZWORX23,Other countries (23),2,Female,4,Emigrants: All destinations,Thousand,3.2
1996,ZZWORX23,Other countries (23),2,Female,5,Immigrants: All origins,Thousand,3.7
1996,-,All countries,-,Both sexes,1,Net migration,Thousand,8.0
1996,-,All countries,-,Both sexes,4,Emigrants: All destinations,Thousand,31.2
1996,-,All countries,-,Both sexes,5,Immigrants: All origins,Thousand,39.2
1996,-,All countries,1,Male,1,Net migration,Thousand,3.5
1996,-,All countries,1,Male,4,Emigrants: All destinations,Thousand,15.3
1996,-,All countries,1,Male,5,Immigrants: All origins,Thousand,18.8
1996,-,All countries,2,Female,1,Net migration,Thousand,4.4
1996,-,All countries,2,Female,4,Emigrants: All destinations,Thousand,15.9
1996,-,All countries,2,Female,5,Immigrants: All origins,Thousand,20.4
1996,E1420XIE,EU14 excl Irl (UK & Ireland),-,Both sexes,1,Net migration,Thousand,2.1
1996,E1420XIE,EU14 excl Irl (UK & Ireland),-,Both sexes,4,Emigrants: All destinations,Thousand,5.1
1996,E1420XIE,EU14 excl Irl (UK & Ireland),-,Both sexes,5,Immigrants: All origins,Thousand,7.2
1996,E1420XIE,EU14 excl Irl (UK & Ireland),1,Male,1,Net migration,Thousand,1.0
1996,E1420XIE,EU14 excl Irl (UK & Ireland),1,Male,4,Emigrants: All destinations,Thousand,2.2
1996,E1420XIE,EU14 excl Irl (UK & Ireland),1,Male,5,Immigrants: All origins,Thousand,3.2
1996,E1420XIE,EU14 excl Irl (UK & Ireland),2,Female,1,Net migration,Thousand,-3.5
1996,E1420XIE,EU14 excl Irl (UK & Ireland),2,Female,4,Emigrants: All destinations,Thousand,2.8
1996,E1420XIE,EU14 excl Irl (UK & Ireland),2,Female,5,Immigrants: All origins,Thousand,3.9
1997,GB1,United Kingdom (1),-,Both sexes,1,Net migration,Thousand,8.7
1997,GB1,United Kingdom (1),-,Both sexes,4,Emigrants: All destinations,Thousand,11.6
1997,GB1,United Kingdom (1),-,Both sexes,5,Immigrants: All origins,Thousand,20.3
1997,GB1,United Kingdom (1),1,Male,1,Net migration,Thousand,5.0
1997,GB1,United Kingdom (1),1,Male,4,Emigrants: All destinations,Thousand,5.4
1997,GB1,United Kingdom (1),1,Male,5,Immigrants: All origins,Thousand,10.4
1997,GB1,United Kingdom (1),2,Female,1,Net migration,Thousand,3.8
1997,GB1,United Kingdom (1),2,Female,4,Emigrants: All destinations,Thousand,6.1
1997,GB1,United Kingdom (1),2,Female,5,Immigrants: All origins,Thousand,9.9
1997,US,United States,-,Both sexes,1,Net migration,Thousand,3.3
1997,US,United States,-,Both sexes,4,Emigrants: All destinations,Thousand,3.4
1997,US,United States,-,Both sexes,5,Immigrants: All origins,Thousand,6.7
1997,US,United States,1,Male,1,Net migration,Thousand,0.6
