Year,Age category,Single Year of Age,Sex category,Sex,UNIT,VALUE
1996,-,All ages,-,Both sexes,Number,3626087
1996,-,All ages,1,Male,Number,1800232
1996,-,All ages,2,Female,Number,1825855
1996,200,Under 1 year,-,Both sexes,Number,48854
1996,200,Under 1 year,1,Male,Number,25231
1996,200,Under 1 year,2,Female,Number,23623
1996,001,1 year,-,Both sexes,Number,48574
1996,001,1 year,1,Male,Number,24963
1996,001,1 year,2,Female,Number,23611
1996,002,2 years,-,Both sexes,Number,49011
1996,002,2 years,1,Male,Number,25245
1996,002,2 years,2,Female,Number,23766
1996,003,3 years,-,Both sexes,Number,50563
1996,003,3 years,1,Male,Number,26005
1996,003,3 years,2,Female,Number,24558
1996,004,4 years,-,Both sexes,Number,53392
1996,004,4 years,1,Male,Number,27296
1996,004,4 years,2,Female,Number,26096
1996,005,5 years,-,Both sexes,Number,55163
1996,005,5 years,1,Male,Number,28501
1996,005,5 years,2,Female,Number,26662
1996,006,6 years,-,Both sexes,Number,55193
1996,006,6 years,1,Male,Number,28271
1996,006,6 years,2,Female,Number,26922
1996,007,7 years,-,Both sexes,Number,54948
1996,007,7 years,1,Male,Number,28190
1996,007,7 years,2,Female,Number,26758
1996,008,8 years,-,Both sexes,Number,57311
1996,008,8 years,1,Male,Number,29196
1996,008,8 years,2,Female,Number,28115
1996,009,9 years,-,Both sexes,Number,60328
1996,009,9 years,1,Male,Number,31177
1996,009,9 years,2,Female,Number,29151
1996,010,10 years,-,Both sexes,Number,61418
1996,010,10 years,1,Male,Number,31476
1996,010,10 years,2,Female,Number,29942
1996,011,11 years,-,Both sexes,Number,62310
1996,011,11 years,1,Male,Number,32124
1996,011,11 years,2,Female,Number,30186
1996,012,12 years,-,Both sexes,Number,64687
1996,012,12 years,1,Male,Number,33186
1996,012,12 years,2,Female,Number,31501
1996,013,13 years,-,Both sexes,Number,67918
1996,013,13 years,1,Male,Number,34820
1996,013,13 years,2,Female,Number,33098
1996,014,14 years,-,Both sexes,Number,69754
1996,014,14 years,1,Male,Number,35771
1996,014,14 years,2,Female,Number,33983
1996,015,15 years,-,Both sexes,Number,71732
1996,015,15 years,1,Male,Number,36884
1996,015,15 years,2,Female,Number,34848
1996,016,16 years,-,Both sexes,Number,71884
1996,016,16 years,1,Male,Number,37068
1996,016,16 years,2,Female,Number,34816
1996,017,17 years,-,Both sexes,Number,68932
1996,017,17 years,1,Male,Number,34985
1996,017,17 years,2,Female,Number,33947
1996,018,18 years,-,Both sexes,Number,65085
1996,018,18 years,1,Male,Number,33339
1996,018,18 years,2,Female,Number,31746
1996,019,19 years,-,Both sexes,Number,61903
1996,019,19 years,1,Male,Number,31674
1996,019,19 years,2,Female,Number,30229
1996,020,20 years,-,Both sexes,Number,61273
1996,020,20 years,1,Male,Number,31424
1996,020,20 years,2,Female,Number,29849
1996,021,21 years,-,Both sexes,Number,60219
1996,021,21 years,1,Male,Number,30767
1996,021,21 years,2,Female,Number,29452
1996,022,22 years,-,Both sexes,Number,58401
1996,022,22 years,1,Male,Number,29618
1996,022,22 years,2,Female,Number,28783
1996,023,23 years,-,Both sexes,Number,57763
1996,023,23 years,1,Male,Number,29296
1996,023,23 years,2,Female,Number,28467
1996,024,24 years,-,Both sexes,Number,55698
1996,024,24 years,1,Male,Number,28038
1996,024,24 years,2,Female,Number,27660
1996,025,25 years,-,Both sexes,Number,54326
1996,025,25 years,1,Male,Number,27370
1996,025,25 years,2,Female,Number,26956
1996,026,26 years,-,Both sexes,Number,52613
1996,026,26 years,1,Male,Number,26355
1996,026,26 years,2,Female,Number,26258
1996,027,27 years,-,Both sexes,Number,50640
1996,027,27 years,1,Male,Number,25412
1996,027,27 years,2,Female,Number,25228
1996,028,28 years,-,Both sexes,Number,50288
1996,028,28 years,1,Male,Number,24825
1996,028,28 years,2,Female,Number,25463
1996,029,29 years,-,Both sexes,Number,51178
1996,029,29 years,1,Male,Number,25401
1996,029,29 years,2,Female,Number,25777
1996,030,30 years,-,Both sexes,Number,51529
1996,030,30 years,1,Male,Number,25253
1996,030,30 years,2,Female,Number,26276
1996,031,31 years,-,Both sexes,Number,52599
1996,031,31 years,1,Male,Number,25652
1996,031,31 years,2,Female,Number,26947
1996,032,32 years,-,Both sexes,Number,52707
1996,032,32 years,1,Male,Number,25788
1996,032,32 years,2,Female,Number,26919
1996,033,33 years,-,Both sexes,Number,52607
1996,033,33 years,1,Male,Number,25788
1996,033,33 years,2,Female,Number,26819
1996,034,34 years,-,Both sexes,Number,51487
1996,034,34 years,1,Male,Number,25254
1996,034,34 years,2,Female,Number,26233
1996,035,35 years,-,Both sexes,Number,52969
1996,035,35 years,1,Male,Number,26017
1996,035,35 years,2,Female,Number,26952
1996,036,36 years,-,Both sexes,Number,51421
1996,036,36 years,1,Male,Number,25304
1996,036,36 years,2,Female,Number,26117
1996,037,37 years,-,Both sexes,Number,50257
1996,037,37 years,1,Male,Number,24901
1996,037,37 years,2,Female,Number,25356
1996,038,38 years,-,Both sexes,Number,50486
1996,038,38 years,1,Male,Number,24826
1996,038,38 years,2,Female,Number,25660
1996,039,39 years,-,Both sexes,Number,50543
1996,039,39 years,1,Male,Number,25092
1996,039,39 years,2,Female,Number,25451
1996,040,40 years,-,Both sexes,Number,49119
1996,040,40 years,1,Male,Number,24451
1996,040,40 years,2,Female,Number,24668
1996,041,41 years,-,Both sexes,Number,49360
1996,041,41 years,1,Male,Number,24627
1996,041,41 years,2,Female,Number,24733
1996,042,42 years,-,Both sexes,Number,47605
1996,042,42 years,1,Male,Number,23672
1996,042,42 years,2,Female,Number,23933
1996,043,43 years,-,Both sexes,Number,48650
1996,043,43 years,1,Male,Number,24333
1996,043,43 years,2,Female,Number,24317
1996,044,44 years,-,Both sexes,Number,45707
1996,044,44 years,1,Male,Number,22981
1996,044,44 years,2,Female,Number,22726
1996,045,45 years,-,Both sexes,Number,45521
1996,045,45 years,1,Male,Number,22930
1996,045,45 years,2,Female,Number,22591
1996,046,46 years,-,Both sexes,Number,45598
1996,046,46 years,1,Male,Number,22719
1996,046,46 years,2,Female,Number,22879
