Year,Age Group,Sex,Population,Emigrants_All_Destinations,Immigrants_All_Origins,Net_Migration,Migration_Rate
1996,0 - 14 years,Female,417972,600.0,3600.0,3000.0,7.177514283253424
1996,0 - 14 years,Male,441452,400.0,3100.0,2700.0,6.116180241566467
1996,15 - 24 years,Female,309797,11700.0,6700.0,-4999.999999999999,-16.139601093619365
1996,15 - 24 years,Male,323093,9800.0,4200.0,-5600.000000000001,-17.332470836570277
1996,25 - 44 years,Female,512789,3000.0,8100.0,5100.0,9.945611157805647
1996,25 - 44 years,Male,503302,5100.0,8700.0,3599.9999999999995,7.152763152143246
1996,45 - 64 years,Female,348667,700.0,1300.0,600.0000000000001,1.7208396550290108
1996,45 - 64 years,Male,355133,0.0,2200.0,2200.0,6.194862206553601
1996,65 years and over,Female,236630,0.0,600.0,600.0,2.5356041076786546
1996,65 years and over,Male,177252,0.0,600.0,600.0,3.385011170536863
1997,0 - 14 years,Female,411533,200.0,3500.0,3300.0,8.018798006478216
1997,0 - 14 years,Male,434449,100.0,2900.0,2800.0,6.444945206456914
1997,15 - 24 years,Female,313447,10400.0,7800.0,-2600.0000000000005,-8.294863246418055
1997,15 - 24 years,Male,327450,9000.0,5900.0,-3099.9999999999995,-9.467094212856924
1997,25 - 44 years,Female,523705,2200.0,8600.0,6399.999999999999,12.220620387431854
1997,25 - 44 years,Male,513896,3400.0,9600.0,6199.999999999999,12.064697915531546
1997,45 - 64 years,Female,358578,0.0,2000.0,2000.0,5.577587024301547
1997,45 - 64 years,Male,364999,0.0,2700.0,2700.0,7.397280540494632
1997,65 years and over,Female,237656,0.0,700.0,700.0,2.9454337361564615
1997,65 years and over,Male,178600,0.0,800.0,800.0,4.479283314669653
1998,0 - 14 years,Female,406483,1200.0,4100.0,2899.9999999999995,7.13436970303801
1998,0 - 14 years,Male,429311,400.0,3400.0,3000.0,6.987941142901067
1998,15 - 24 years,Female,314723,10900.0,7300.0,-3600.0000000000005,-11.438630160490337
1998,15 - 24 years,Male,328079,10100.0,5100.0,-5000.0,-15.24023177344481
1998,25 - 44 years,Female,533402,2500.0,8800.0,6300.000000000001,11.810979336410439
1998,25 - 44 years,Male,525358,3200.0,11100.0,7899.999999999999,15.037364996821214
1998,45 - 64 years,Female,369951,0.0,2200.0,2200.0,5.9467334863265675
1998,45 - 64 years,Male,375555,200.0,2100.0,1900.0000000000002,5.059179081625861
1998,65 years and over,Female,239664,0.0,900.0,900.0,3.755257360304426
1998,65 years and over,Male,180556,0.0,900.0,900.0,4.984603114823102
1999,0 - 14 years,Female,403874,0.0,3400.0,3400.0,8.418467145693954
1999,0 - 14 years,Male,426712,0.0,3600.0,3600.0,8.436603610866346
1999,15 - 24 years,Female,315004,12700.0,9200.0,-3500.0,-11.110970019428326
1999,15 - 24 years,Male,327454,10400.0,6100.0,-4300.000000000001,-13.131615433007388
1999,25 - 44 years,Female,543737,3000.0,9900.0,6900.0,12.6899585645266
1999,25 - 44 years,Male,537106,4600.0,11700.0,7100.0,13.218992154248882
1999,45 - 64 years,Female,380152,300.0,1600.0,1300.0,3.419684757675877
1999,45 - 64 years,Male,385692,0.0,2500.0,2500.0,6.481855988716385
1999,65 years and over,Female,240267,100.0,300.0,199.99999999999997,0.8324072802340727
1999,65 years and over,Male,181649,400.0,600.0,199.99999999999994,1.1010245033003205
2000,0 - 14 years,Female,402851,0.0,3600.0,3600.0,8.936306475595195
2000,0 - 14 years,Male,425150,0.0,3600.0,3600.0,8.467599670704457
2000,15 - 24 years,Female,314968,11200.0,10100.0,-1099.9999999999995,-3.492418277412307
2000,15 - 24 years,Male,326264,10200.0,6800.0,-3399.9999999999995,-10.421008753647351
2000,25 - 44 years,Female,556208,2000.0,10700.0,8700.0,15.641630469176999
2000,25 - 44 years,Male,551417,2600.0,12700.0,10100.0,18.31644653683147
2000,45 - 64 years,Female,391099,100.0,1400.0,1299.9999999999998,3.32396656601014
2000,45 - 64 years,Male,396893,0.0,2600.0,2600.0,6.550883991403225
2000,65 years and over,Female,241464,300.0,600.0,300.0,1.2424212304939866
2000,65 years and over,Male,183222,300.0,600.0,300.0,1.6373579591970395
2001,0 - 14 years,Female,402599,0.0,3800.0,3800.0,9.438672227203744
2001,0 - 14 years,Male,424946,0.0,4100.0,4100.0,9.648284723235424
2001,15 - 24 years,Female,313247,11300.0,9800.0,-1500.0,-4.788553441852596
2001,15 - 24 years,Male,324752,9900.0,6600.0,-3300.000000000001,-10.161600236488153
2001,25 - 44 years,Female,572595,2000.0,13200.0,11200.0,19.560073000986737
2001,25 - 44 years,Male,569541,2400.0,16300.0,13900.0,24.405617857186755
2001,45 - 64 years,Female,401866,0.0,1800.0,1800.0,4.47910497529027
2001,45 - 64 years,Male,407840,0.0,2500.0,2500.0,6.12985484503727
2001,65 years and over,Female,243763,300.0,300.0,0.0,0.0
2001,65 years and over,Male,186049,400.0,500.0,99.99999999999997,0.5374928110336522
2002,0 - 14 years,Female,403384,1200.0,3800.0,2599.9999999999995,6.445471312694602
2002,0 - 14 years,Male,424044,1200.0,3200.0,2000.0,4.71649168482516
2002,15 - 24 years,Female,315817,9800.0,11800.0,2000.0,6.332781325894426
2002,15 - 24 years,Male,325705,9000.0,8000.0,-1000.0,-3.0702629680232114
2002,25 - 44 years,Female,591951,1400.0,17700.0,16300.0,27.53606295115643
2002,25 - 44 years,Male,588308,1700.0,17500.0,15800.0,26.856680514288435
2002,45 - 64 years,Female,413041,100.0,1900.0,1799.9999999999998,4.357920884367411
2002,45 - 64 years,Male,418952,0.0,2300.0,2300.0,5.489889056502893
2002,65 years and over,Female,246846,400.0,500.0,99.99999999999997,0.40511087884754043
2002,65 years and over,Male,189155,800.0,300.0,-500.0,-2.643334831223071
2003,0 - 14 years,Female,407068,200.0,3700.0,3500.0,8.59807206658347
2003,0 - 14 years,Male,427610,700.0,3600.0,2900.0000000000005,6.781880685671524
2003,15 - 24 years,Female,315802,7700.0,9800.0,2100.0000000000005,6.649736227129659
2003,15 - 24 years,Male,322878,9300.0,7800.0,-1500.000000000001,-4.645717577537029
2003,25 - 44 years,Female,605930,3100.0,12700.0,9600.0,15.84341425577212
2003,25 - 44 years,Male,603123,5700.0,16000.0,10300.0,17.077776838223713
2003,45 - 64 years,Female,424589,700.0,1700.0,1000.0,2.355218811603692
2003,45 - 64 years,Male,430948,600.0,3400.0,2800.0,6.497303618998116
2003,65 years and over,Female,249550,600.0,700.0,99.99999999999997,0.4007212983370065
2003,65 years and over,Male,192355,700.0,700.0,0.0,0.0
2004,0 - 14 years,Female,411155,900.0,2700.0,1800.0000000000002,4.377911006797923
2004,0 - 14 years,Male,432656,600.0,3500.0,2900.0,6.702784660330609
2004,15 - 24 years,Female,313565,7800.0,10600.0,2800.0,8.929568032146443
2004,15 - 24 years,Male,320918,6300.0,8100.0,1799.9999999999998,5.608909441041013
2004,25 - 44 years,Female,620454,3900.0,12500.0,8600.0,13.860818046140405
2004,25 - 44 years,Male,619557,5300.0,16300.0,11000.0,17.754621447259897
2004,45 - 64 years,Female,435223,1000.0,1800.0,800.0,1.8381381498679987
2004,45 - 64 years,Male,441969,400.0,2400.0,2000.0,4.5252042564071235
2004,65 years and over,Female,252877,400.0,400.0,0.0,0.0
2004,65 years and over,Male,196814,0.0,300.0,300.0,1.5242818092208887
2005,0 - 14 years,Female,415480,1100.0,3800.0,2699.9999999999995,6.498507750072204
2005,0 - 14 years,Male,438001,1100.0,4200.0,3100.0,7.077609411850658
2005,15 - 24 years,Female,312454,7600.0,12700.0,5100.0,16.32240265767121
2005,15 - 24 years,Male,319790,6700.0,11600.0,4899.999999999999,15.322555426998965
2005,25 - 44 years,Female,639510,4500.0,17500.0,13000.0,20.328063673750215
2005,25 - 44 years,Male,647733,6100.0,27300.0,21200.000000000004,32.729535163408386
2005,45 - 64 years,Female,447544,800.0,2500.0,1700.0,3.7985091968610907
2005,45 - 64 years,Male,454446,600.0,3700.0,3100.0,6.821492542568314
2005,65 years and over,Female,257020,500.0,600.0,99.99999999999997,0.3890747801727491
2005,65 years and over,Male,201861,400.0,600.0,199.99999999999994,0.9907807847974593
2006,0 - 14 years,Female,421580,1100.0,6000.0,4900.0,11.622942264813322
2006,0 - 14 years,Male,443478,1100.0,5500.0,4400.0,9.921574463671254
2006,15 - 24 years,Female,314219,7900.0,15200.0,7299.999999999999,23.232204290638055
2006,15 - 24 years,Male,324193,8000.0,16400.0,8399.999999999998,25.910491589886266
2006,25 - 44 years,Female,663553,6500.0,23200.0,16700.0,25.167545019011293
2006,25 - 44 years,Male,679734,7600.0,34000.0,26400.0,38.83872220603942
2006,45 - 64 years,Female,458407,900.0,2400.0,1500.0,3.272201340729963
2006,45 - 64 years,Male,465401,1200.0,3700.0,2500.0,5.371711706678757
2006,65 years and over,Female,257848,900.0,700.0,-200.00000000000006,-0.7756507709968666
2006,65 years and over,Male,204516,800.0,700.0,-100.00000000000009,-0.48895929902794927
2007,0 - 14 years,Female,431010,800.0,6100.0,5300.0,12.2966984524721
2007,0 - 14 years,Male,453171,600.0,5300.0,4700.0,10.371360921153384
2007,15 - 24 years,Female,328042,9300.0,32500.0,23200.0,70.72265136781266
2007,15 - 24 years,Male,335106,8900.0,28900.0,20000.0,59.68260789123442
2007,25 - 44 years,Female,691220,8400.0,27700.0,19299.999999999996,27.92164578571221
2007,25 - 44 years,Male,713306,12800.0,38100.0,25300.0,35.468648798692286
2007,45 - 64 years,Female,473108,1100.0,4100.0,2999.9999999999995,6.341046864563693
2007,45 - 64 years,Male,479858,2000.0,6000.0,4000.0,8.335799340638273
2007,65 years and over,Female,261187,1000.0,700.0,-300.00000000000006,-1.1486023423830438
2007,65 years and over,Male,209834,1500.0,1700.0,199.99999999999994,0.9531343824165766
2008,0 - 14 years,Female,445908,800.0,7300.0,6500.0,14.576997945764596
2008,0 - 14 years,Male,467483,800.0,6600.0,5800.0,12.406868271145688
2008,15 - 24 years,Female,333067,8100.0,26700.0,18600.0,55.84461985126116
2008,15 - 24 years,Male,336139,9700.0,23300.0,13600.000000000002,40.45945278590107
2008,25 - 44 years,Female,713315,9100.0,20700.0,11600.0,16.262100194163867
2008,25 - 44 years,Male,726585,14900.0,18000.0,3099.9999999999995,4.266534541726019
2008,45 - 64 years,Female,486613,600.0,3000.0,2400.0,4.932050726141719
2008,45 - 64 years,Male,492216,2200.0,4200.0,2000.0,4.063256781575569
2008,65 years and over,Female,267586,1000.0,1800.0,800.0,2.9896930332678093
2008,65 years and over,Male,216158,2000.0,1700.0,-300.00000000000006,-1.3878736849896836
2009,0 - 14 years,Female,457187,1300.0,2300.0,999.9999999999998,2.1872887899262223
2009,0 - 14 years,Male,479194,1100.0,2200.0,1100.0,2.295521229397697
2009,15 - 24 years,Female,324801,10800.0,18600.0,7800.000000000001,24.014704388225407
2009,15 - 24 years,Male,323861,17100.0,18600.0,1500.0,4.631616650353084
2009,25 - 44 years,Female,721837,15500.0,13400.0,-2099.9999999999995,-2.909244053712957
2009,25 - 44 years,Male,726272,22000.0,13000.0,-9000.0,-12.39205146281283
2009,45 - 64 years,Female,498172,1800.0,1700.0,-100.00000000000009,-0.20073388307652795
2009,45 - 64 years,Male,503169,1200.0,1600.0,400.0000000000001,0.7949615337987835
2009,65 years and over,Female,274056,800.0,900.0,99.99999999999997,0.3648889278103744
2009,65 years and over,Male,224846,400.0,1400.0,999.9999999999999,4.447488503242219
2010,0 - 14 years,Female,467218,1100.0,500.0,-600.0000000000001,-1.284197098570689
2010,0 - 14 years,Male,490487,1000.0,1400.0,399.9999999999999,0.8155160075598331
2010,15 - 24 years,Female,307925,13000.0,9700.0,-3300.000000000001,-10.716895347893159
2010,15 - 24 years,Male,307820,13700.0,7600.0,-6100.0,-19.816776037944255
2010,25 - 44 years,Female,725229,13500.0,8800.0,-4699.999999999999,-6.480711609712242
2010,25 - 44 years,Male,719091,23000.0,9900.0,-13100.0,-18.217443967453352
2010,45 - 64 years,Female,510537,500.0,1300.0,800.0,1.56697751583137
2010,45 - 64 years,Male,511403,2400.0,800.0,-1599.9999999999998,-3.128648052514357
2010,65 years and over,Female,281673,600.0,1100.0,500.0000000000001,1.7751080153227328
2010,65 years and over,Male,233380,500.0,700.0,199.99999999999994,0.8569714628502868
2011,0 - 14 years,Female,476789,2700.0,3000.0,299.99999999999983,0.6292091470231063
2011,0 - 14 years,Male,499927,2500.0,3100.0,600.0000000000001,1.2001752255829352
2011,15 - 24 years,Female,287304,18600.0,8200.0,-10400.000000000002,-36.19859103945647
2011,15 - 24 years,Male,292307,15900.0,6400.0,-9500.0,-32.50007697386652
2011,25 - 44 years,Female,730847,13300.0,13300.0,0.0,0.0
2011,25 - 44 years,Male,717820,17900.0,13600.0,-4299.999999999999,-5.990359700203393
2011,45 - 64 years,Female,519454,3100.0,2100.0,-1000.0,-1.9250982762670035
2011,45 - 64 years,Male,518877,3100.0,2200.0,-899.9999999999999,-1.7345151162992383
2011,65 years and over,Female,289988,1000.0,700.0,-300.00000000000006,-1.034525566575169
2011,65 years and over,Male,241575,2400.0,700.0,-1700.0,-7.037152023181207
2012,0 - 14 years,Female,482649,5000.0,3900.0,-1100.0,-2.27908894455391
2012,0 - 14 years,Male,505377,4600.0,2800.0,-1799.9999999999998,-3.561697505030897
2012,15 - 24 years,Female,280712,12400.0,9300.0,-3099.9999999999995,-11.043346917837498
2012,15 - 24 years,Male,285839,13600.0,7600.0,-6000.0,-20.9908374994315
2012,25 - 44 years,Female,728358,15800.0,13000.0,-2800.000000000001,-3.844263397944419
2012,25 - 44 years,Male,706952,22700.0,13400.0,-9299.999999999998,-13.155065690457059
2012,45 - 64 years,Female,528566,2700.0,2400.0,-300.0000000000003,-0.5675733966997505
2012,45 - 64 years,Male,525187,4100.0,2100.0,-1999.9999999999995,-3.808167376572534
2012,65 years and over,Female,298395,1200.0,1200.0,0.0,0.0
2012,65 years and over,Male,251662,900.0,1600.0,700.0000000000001,2.7815085312840244
2013,0 - 14 years,Female,486158,5200.0,4100.0,-1100.0000000000005,-2.262638895173998
2013,0 - 14 years,Male,507751,5800.0,3500.0,-2300.0,-4.529779360355764
2013,15 - 24 years,Female,277291,11900.0,9700.0,-2200.000000000001,-7.933903372269569
2013,15 - 24 years,Male,285987,12000.0,10300.0,-1699.9999999999993,-5.944326140698701
2013,25 - 44 years,Female,722071,17900.0,13100.0,-4799.999999999999,-6.647545739961859
2013,25 - 44 years,Male,699010,19200.0,14600.0,-4600.0,-6.580735611793823
2013,45 - 64 years,Female,535509,3800.0,2000.0,-1799.9999999999998,-3.3612880455790655
2013,45 - 64 years,Male,531706,3800.0,2400.0,-1400.0,-2.6330340451302034
2013,65 years and over,Female,307509,900.0,1500.0,600.0,1.9511624050027805
2013,65 years and over,Male,261677,800.0,1500.0,700.0,2.6750535966095605
2014,0 - 14 years,Female,487947,5700.0,3900.0,-1800.0000000000002,-3.688925231633764
2014,0 - 14 years,Male,509569,4500.0,2600.0,-1900.0,-3.7286412634991533
